merchantName,description,category
مواصلات,course taxi lac,TRANSPORT
universite,paiement education paiement semestre 1 virement,EDUCATION
ooredoo,paiement facture avril 6931,FACTURES
zara,paiement fashion achat en ligne,SHOPPING
خدمة,autre paiement ref001,AUTRE
hanout,epicerie quotidienne carte bancaire,ALIMENTATION
orange,telecom facture tunis,FACTURES
راتب,prime de performance,SALAIRE
BARBER SHOP,coupe cheveux centre ville 2539,SHOPPING
property service,loyer mensuel septembre 131,LOGEMENT
pizza hut,snack paiement la marsa,RESTAURANT
سينما,paiement abonnement netflix,LOISIRS
تكسي,transport ville sousse,TRANSPORT
Livret,mensuel epargne fevrier en ligne,EPARGNE
compte epargne,virement epargne avril,EPARGNE
orange,facture d'electricite fiber,FACTURES
shopping center,achat sport 5245 carte bancaire,SHOPPING
عيادة,bilan de sante ariana,SANTE
monthly payroll,virement salaire janvier,SALAIRE
chapatihouse,cafe avec amis lac,RESTAURANT
سنديك,paiement loyer mai 9401,LOGEMENT
salary transfer,virement salaire mai,SALAIRE
radiologie,analyses ariana,SANTE
boucherie slim,mouneh maison sfax,ALIMENTATION
Unknown Merchant,paiement operation diverse ref778,AUTRE
sonede,paiement facture mars,FACTURES
netflix,gaming achat weekend 7463,LOISIRS
netflix,paiement fun activity mars virement,LOISIRS
Xbox,entertainment paiement,LOISIRS
grill house,makloub chawarma lac,RESTAURANT
COMPTE EPARGNE,virement epargne,EPARGNE
apartment owner,paiement loyer appartement,LOGEMENT
spotify,paiement film weekend mars 2037 visa,LOISIRS
tunisie telecom,water facture 8787,FACTURES
compte epargne,paiement virement to epargne juin,EPARGNE
Wifi Bill,mobile recharge mars mastercard,FACTURES
gare routiere,transport quotidien lac visa,TRANSPORT
burgerking,pizza commande ariana,RESTAURANT
xbox,abonnement plateforme weekend,LOISIRS
Hr Payment,versement employeur mai 4562,SALAIRE
formationcenter,frais inscription mars 8193,EDUCATION
CHAPATI HOUSE,paiement achat repas sousse,RESTAURANT
stationmetro,paiement trajet travail tunis,TRANSPORT
medecin,bilan medical lac 1910 carte bancaire,SANTE
pizza hut,paiement cafe avec amis sousse,RESTAURANT
hr payment,salaire paiement janvier,SALAIRE
عيادة,bilan medical sfax 2265,SANTE
agence immobiliere,paiement loyer fevrier carte,LOGEMENT
BERSHKA,paiement mall achat ariana,SHOPPING
سنديك,paiement versement logement juin 5579,LOGEMENT
STATION METRO,station travel lac,TRANSPORT
burger king,paiement fast nourriture commande,RESTAURANT
SERVICE TAXI,transport a tunis ariana 8067 mastercard,TRANSPORT
